areaCode,areaName,areaType,date,newCasesBySpecimenDate
E92000001,England,nation,2023-12-13,583
E92000001,England,nation,2023-12-12,1040
E92000001,England,nation,2023-12-11,1183
E92000001,England,nation,2023-12-10,947
E92000001,England,nation,2023-12-09,771
E92000001,England,nation,2023-12-08,882
E92000001,England,nation,2023-12-07,807
E92000001,England,nation,2023-12-06,945
E92000001,England,nation,2023-12-05,933
E92000001,England,nation,2023-12-04,950
E92000001,England,nation,2023-12-03,687
E92000001,England,nation,2023-12-02,519
E92000001,England,nation,2023-12-01,538
E92000001,England,nation,2023-11-30,655
E92000001,England,nation,2023-11-29,727
E92000001,England,nation,2023-11-28,682
E92000001,England,nation,2023-11-27,685
E92000001,England,nation,2023-11-26,506
E92000001,England,nation,2023-11-25,424
E92000001,England,nation,2023-11-24,545
E92000001,England,nation,2023-11-23,562
E92000001,England,nation,2023-11-22,612
E92000001,England,nation,2023-11-21,590
E92000001,England,nation,2023-11-20,695
E92000001,England,nation,2023-11-19,547
E92000001,England,nation,2023-11-18,449
E92000001,England,nation,2023-11-17,510
E92000001,England,nation,2023-11-16,662
E92000001,England,nation,2023-11-15,629
E92000001,England,nation,2023-11-14,760
E92000001,England,nation,2023-11-13,739
E92000001,England,nation,2023-11-12,593
E92000001,England,nation,2023-11-11,291
E92000001,England,nation,2023-11-10,275
E92000001,England,nation,2023-11-09,493
E92000001,England,nation,2023-11-08,693
E92000001,England,nation,2023-11-07,817
E92000001,England,nation,2023-11-06,780
E92000001,England,nation,2023-11-05,683
E92000001,England,nation,2023-11-04,592
E92000001,England,nation,2023-11-03,734
E92000001,England,nation,2023-11-02,809
E92000001,England,nation,2023-11-01,865
E92000001,England,nation,2023-10-31,954
E92000001,England,nation,2023-10-30,1011
E92000001,England,nation,2023-10-29,847
E92000001,England,nation,2023-10-28,737
E92000001,England,nation,2023-10-27,932
E92000001,England,nation,2023-10-26,1013
E92000001,England,nation,2023-10-25,1021
E92000001,England,nation,2023-10-24,1151
E92000001,England,nation,2023-10-23,1175
E92000001,England,nation,2023-10-22,988
E92000001,England,nation,2023-10-21,868
E92000001,England,nation,2023-10-20,1145
E92000001,England,nation,2023-10-19,1320
E92000001,England,nation,2023-10-18,1395
E92000001,England,nation,2023-10-17,1411
E92000001,England,nation,2023-10-16,1445
E92000001,England,nation,2023-10-15,1219
E92000001,England,nation,2023-10-14,1120
E92000001,England,nation,2023-10-13,1467
E92000001,England,nation,2023-10-12,1543
E92000001,England,nation,2023-10-11,1894
E92000001,England,nation,2023-10-10,2027
E92000001,England,nation,2023-10-09,2234
E92000001,England,nation,2023-10-08,2068
E92000001,England,nation,2023-10-07,1666
E92000001,England,nation,2023-10-06,2116
E92000001,England,nation,2023-10-05,2254
E92000001,England,nation,2023-10-04,2447
E92000001,England,nation,2023-10-03,2658
E92000001,England,nation,2023-10-02,2645
E92000001,England,nation,2023-10-01,2360
E92000001,England,nation,2023-09-30,1928
E92000001,England,nation,2023-09-29,2125
E92000001,England,nation,2023-09-28,2318
E92000001,England,nation,2023-09-27,2667
E92000001,England,nation,2023-09-26,2698
E92000001,England,nation,2023-09-25,2561
E92000001,England,nation,2023-09-24,2007
E92000001,England,nation,2023-09-23,1555
E92000001,England,nation,2023-09-22,1680
E92000001,England,nation,2023-09-21,1825
E92000001,England,nation,2023-09-20,1893
E92000001,England,nation,2023-09-19,1950
E92000001,England,nation,2023-09-18,1929
E92000001,England,nation,2023-09-17,1605
E92000001,England,nation,2023-09-16,1318
E92000001,England,nation,2023-09-15,1341
E92000001,England,nation,2023-09-14,1532
E92000001,England,nation,2023-09-13,1522
E92000001,England,nation,2023-09-12,1675
E92000001,England,nation,2023-09-11,1824
E92000001,England,nation,2023-09-10,1580
E92000001,England,nation,2023-09-09,1334
E92000001,England,nation,2023-09-08,1548
E92000001,England,nation,2023-09-07,1708
E92000001,England,nation,2023-09-06,1860
E92000001,England,nation,2023-09-05,1891
E92000001,England,nation,2023-09-04,1969
E92000001,England,nation,2023-09-03,1637
E92000001,England,nation,2023-09-02,1327
E92000001,England,nation,2023-09-01,1512
E92000001,England,nation,2023-08-31,1446
E92000001,England,nation,2023-08-30,1488
E92000001,England,nation,2023-08-29,1368
E92000001,England,nation,2023-08-28,1089
E92000001,England,nation,2023-08-27,901
E92000001,England,nation,2023-08-26,856
E92000001,England,nation,2023-08-25,988
E92000001,England,nation,2023-08-24,1098
E92000001,England,nation,2023-08-23,1096
E92000001,England,nation,2023-08-22,1177
E92000001,England,nation,2023-08-21,1182
E92000001,England,nation,2023-08-20,963
E92000001,England,nation,2023-08-19,848
E92000001,England,nation,2023-08-18,991
E92000001,England,nation,2023-08-17,1047
E92000001,England,nation,2023-08-16,1070
E92000001,England,nation,2023-08-15,1092
E92000001,England,nation,2023-08-14,1098
E92000001,England,nation,2023-08-13,976
E92000001,England,nation,2023-08-12,853
E92000001,England,nation,2023-08-11,919
E92000001,England,nation,2023-08-10,990
E92000001,England,nation,2023-08-09,1034
E92000001,England,nation,2023-08-08,1088
E92000001,England,nation,2023-08-07,1021
E92000001,England,nation,2023-08-06,827
E92000001,England,nation,2023-08-05,681
E92000001,England,nation,2023-08-04,771
E92000001,England,nation,2023-08-03,807
E92000001,England,nation,2023-08-02,824
E92000001,England,nation,2023-08-01,846
E92000001,England,nation,2023-07-31,847
E92000001,England,nation,2023-07-30,752
E92000001,England,nation,2023-07-29,629
E92000001,England,nation,2023-07-28,625
E92000001,England,nation,2023-07-27,629
E92000001,England,nation,2023-07-26,622
E92000001,England,nation,2023-07-25,647
E92000001,England,nation,2023-07-24,630
E92000001,England,nation,2023-07-23,495
E92000001,England,nation,2023-07-22,412
E92000001,England,nation,2023-07-21,444
E92000001,England,nation,2023-07-20,497
E92000001,England,nation,2023-07-19,468
E92000001,England,nation,2023-07-18,517
E92000001,England,nation,2023-07-17,491
E92000001,England,nation,2023-07-16,384
E92000001,England,nation,2023-07-15,338
E92000001,England,nation,2023-07-14,340
E92000001,England,nation,2023-07-13,417
E92000001,England,nation,2023-07-12,418
E92000001,England,nation,2023-07-11,450
E92000001,England,nation,2023-07-10,457
E92000001,England,nation,2023-07-09,391
E92000001,England,nation,2023-07-08,308
E92000001,England,nation,2023-07-07,350
E92000001,England,nation,2023-07-06,316
E92000001,England,nation,2023-07-05,344
E92000001,England,nation,2023-07-04,309
E92000001,England,nation,2023-07-03,346
E92000001,England,nation,2023-07-02,264
E92000001,England,nation,2023-07-01,209
E92000001,England,nation,2023-06-30,236
E92000001,England,nation,2023-06-29,253
E92000001,England,nation,2023-06-28,298
E92000001,England,nation,2023-06-27,295
E92000001,England,nation,2023-06-26,306
E92000001,England,nation,2023-06-25,303
E92000001,England,nation,2023-06-24,259
E92000001,England,nation,2023-06-23,289
E92000001,England,nation,2023-06-22,346
E92000001,England,nation,2023-06-21,371
E92000001,England,nation,2023-06-20,396
E92000001,England,nation,2023-06-19,421
E92000001,England,nation,2023-06-18,350
E92000001,England,nation,2023-06-17,333
E92000001,England,nation,2023-06-16,340
E92000001,England,nation,2023-06-15,385
E92000001,England,nation,2023-06-14,463
E92000001,England,nation,2023-06-13,509
E92000001,England,nation,2023-06-12,585
E92000001,England,nation,2023-06-11,517
E92000001,England,nation,2023-06-10,382
E92000001,England,nation,2023-06-09,469
E92000001,England,nation,2023-06-08,578
E92000001,England,nation,2023-06-07,682
E92000001,England,nation,2023-06-06,757
E92000001,England,nation,2023-06-05,806
E92000001,England,nation,2023-06-04,615
E92000001,England,nation,2023-06-03,472
E92000001,England,nation,2023-06-02,578
E92000001,England,nation,2023-06-01,674
E92000001,England,nation,2023-05-31,813
E92000001,England,nation,2023-05-30,780
E92000001,England,nation,2023-05-29,746
E92000001,England,nation,2023-05-28,596
E92000001,England,nation,2023-05-27,567
E92000001,England,nation,2023-05-26,708
E92000001,England,nation,2023-05-25,821
E92000001,England,nation,2023-05-24,922
E92000001,England,nation,2023-05-23,1041
E92000001,England,nation,2023-05-22,1095
E92000001,England,nation,2023-05-21,881
E92000001,England,nation,2023-05-20,717
E92000001,England,nation,2023-05-19,881
E92000001,England,nation,2023-05-18,974
E92000001,England,nation,2023-05-17,991
E92000001,England,nation,2023-05-16,1069
E92000001,England,nation,2023-05-15,1139
E92000001,England,nation,2023-05-14,1030
E92000001,England,nation,2023-05-13,782
E92000001,England,nation,2023-05-12,948
E92000001,England,nation,2023-05-11,1196
E92000001,England,nation,2023-05-10,1267
E92000001,England,nation,2023-05-09,1447
E92000001,England,nation,2023-05-08,1328
E92000001,England,nation,2023-05-07,1109
E92000001,England,nation,2023-05-06,934
E92000001,England,nation,2023-05-05,1198
E92000001,England,nation,2023-05-04,1479
E92000001,England,nation,2023-05-03,1526
E92000001,England,nation,2023-05-02,1777
E92000001,England,nation,2023-05-01,1651
E92000001,England,nation,2023-04-30,1240
E92000001,England,nation,2023-04-29,1211
E92000001,England,nation,2023-04-28,1369
E92000001,England,nation,2023-04-27,1514
E92000001,England,nation,2023-04-26,1569
E92000001,England,nation,2023-04-25,1604
E92000001,England,nation,2023-04-24,1706
E92000001,England,nation,2023-04-23,1432
E92000001,England,nation,2023-04-22,1191
E92000001,England,nation,2023-04-21,1343
E92000001,England,nation,2023-04-20,1488
E92000001,England,nation,2023-04-19,1704
E92000001,England,nation,2023-04-18,1803
E92000001,England,nation,2023-04-17,2059
E92000001,England,nation,2023-04-16,1788
E92000001,England,nation,2023-04-15,1271
E92000001,England,nation,2023-04-14,1553
E92000001,England,nation,2023-04-13,1880
E92000001,England,nation,2023-04-12,2055
E92000001,England,nation,2023-04-11,2281
E92000001,England,nation,2023-04-10,2133
E92000001,England,nation,2023-04-09,1643
E92000001,England,nation,2023-04-08,1531
E92000001,England,nation,2023-04-07,1599
E92000001,England,nation,2023-04-06,1966
E92000001,England,nation,2023-04-05,2237
E92000001,England,nation,2023-04-04,2185
E92000001,England,nation,2023-04-03,2457
E92000001,England,nation,2023-04-02,2249
E92000001,England,nation,2023-04-01,2083
E92000001,England,nation,2023-03-31,2509
E92000001,England,nation,2023-03-30,3050
E92000001,England,nation,2023-03-29,3438
E92000001,England,nation,2023-03-28,3597
E92000001,England,nation,2023-03-27,3924
E92000001,England,nation,2023-03-26,3156
E92000001,England,nation,2023-03-25,2748
E92000001,England,nation,2023-03-24,3744
E92000001,England,nation,2023-03-23,3969
E92000001,England,nation,2023-03-22,4323
E92000001,England,nation,2023-03-21,4747
E92000001,England,nation,2023-03-20,4730
E92000001,England,nation,2023-03-19,3683
E92000001,England,nation,2023-03-18,3105
E92000001,England,nation,2023-03-17,3718
E92000001,England,nation,2023-03-16,4351
E92000001,England,nation,2023-03-15,4371
E92000001,England,nation,2023-03-14,5073
E92000001,England,nation,2023-03-13,5289
E92000001,England,nation,2023-03-12,4026
E92000001,England,nation,2023-03-11,3084
E92000001,England,nation,2023-03-10,3592
E92000001,England,nation,2023-03-09,3961
E92000001,England,nation,2023-03-08,4318
E92000001,England,nation,2023-03-07,4455
E92000001,England,nation,2023-03-06,4577
E92000001,England,nation,2023-03-05,3155
E92000001,England,nation,2023-03-04,2572
E92000001,England,nation,2023-03-03,3421
E92000001,England,nation,2023-03-02,3565
E92000001,England,nation,2023-03-01,3973
E92000001,England,nation,2023-02-28,4148
E92000001,England,nation,2023-02-27,4319
E92000001,England,nation,2023-02-26,2901
E92000001,England,nation,2023-02-25,2529
E92000001,England,nation,2023-02-24,3112
E92000001,England,nation,2023-02-23,3475
E92000001,England,nation,2023-02-22,3855
E92000001,England,nation,2023-02-21,4326
E92000001,England,nation,2023-02-20,4552
E92000001,England,nation,2023-02-19,3435
E92000001,England,nation,2023-02-18,2907
E92000001,England,nation,2023-02-17,3780
E92000001,England,nation,2023-02-16,4005
E92000001,England,nation,2023-02-15,3894
E92000001,England,nation,2023-02-14,4356
E92000001,England,nation,2023-02-13,4549
E92000001,England,nation,2023-02-12,2920
E92000001,England,nation,2023-02-11,2396
E92000001,England,nation,2023-02-10,3051
E92000001,England,nation,2023-02-09,3043
E92000001,England,nation,2023-02-08,3335
E92000001,England,nation,2023-02-07,3395
E92000001,England,nation,2023-02-06,3621
E92000001,England,nation,2023-02-05,2616
E92000001,England,nation,2023-02-04,2223
E92000001,England,nation,2023-02-03,2751
E92000001,England,nation,2023-02-02,2956
E92000001,England,nation,2023-02-01,3214
E92000001,England,nation,2023-01-31,3280
E92000001,England,nation,2023-01-30,3270
E92000001,England,nation,2023-01-29,2249
E92000001,England,nation,2023-01-28,1802
E92000001,England,nation,2023-01-27,2270
E92000001,England,nation,2023-01-26,2338
E92000001,England,nation,2023-01-25,2422
E92000001,England,nation,2023-01-24,2550
E92000001,England,nation,2023-01-23,2382
E92000001,England,nation,2023-01-22,1747
E92000001,England,nation,2023-01-21,1400
E92000001,England,nation,2023-01-20,1699
E92000001,England,nation,2023-01-19,1808
E92000001,England,nation,2023-01-18,1901
E92000001,England,nation,2023-01-17,1988
E92000001,England,nation,2023-01-16,2307
E92000001,England,nation,2023-01-15,1673
E92000001,England,nation,2023-01-14,1327
E92000001,England,nation,2023-01-13,1905
E92000001,England,nation,2023-01-12,2204
E92000001,England,nation,2023-01-11,2373
E92000001,England,nation,2023-01-10,2803
E92000001,England,nation,2023-01-09,3212
E92000001,England,nation,2023-01-08,2501
E92000001,England,nation,2023-01-07,2417
E92000001,England,nation,2023-01-06,3412
E92000001,England,nation,2023-01-05,4168
E92000001,England,nation,2023-01-04,5009
E92000001,England,nation,2023-01-03,5739
E92000001,England,nation,2023-01-02,4636
E92000001,England,nation,2023-01-01,3338
E92000001,England,nation,2022-12-31,3891
E92000001,England,nation,2022-12-30,5524
E92000001,England,nation,2022-12-29,6953
E92000001,England,nation,2022-12-28,7609
E92000001,England,nation,2022-12-27,5977
E92000001,England,nation,2022-12-26,4499
E92000001,England,nation,2022-12-25,3382
E92000001,England,nation,2022-12-24,3777
E92000001,England,nation,2022-12-23,5225
E92000001,England,nation,2022-12-22,6241
E92000001,England,nation,2022-12-21,7042
E92000001,England,nation,2022-12-20,7836
E92000001,England,nation,2022-12-19,8240
E92000001,England,nation,2022-12-18,5212
E92000001,England,nation,2022-12-17,4273
E92000001,England,nation,2022-12-16,5525
E92000001,England,nation,2022-12-15,5549
E92000001,England,nation,2022-12-14,5962
E92000001,England,nation,2022-12-13,6483
E92000001,England,nation,2022-12-12,6356
E92000001,England,nation,2022-12-11,4223
E92000001,England,nation,2022-12-10,3286
E92000001,England,nation,2022-12-09,3824
E92000001,England,nation,2022-12-08,4092
E92000001,England,nation,2022-12-07,4640
E92000001,England,nation,2022-12-06,4761
E92000001,England,nation,2022-12-05,4850
E92000001,England,nation,2022-12-04,3409
E92000001,England,nation,2022-12-03,2481
E92000001,England,nation,2022-12-02,3275
E92000001,England,nation,2022-12-01,3214
E92000001,England,nation,2022-11-30,3608
E92000001,England,nation,2022-11-29,3972
E92000001,England,nation,2022-11-28,4237
E92000001,England,nation,2022-11-27,3152
E92000001,England,nation,2022-11-26,2304
E92000001,England,nation,2022-11-25,2638
E92000001,England,nation,2022-11-24,3007
E92000001,England,nation,2022-11-23,3240
E92000001,England,nation,2022-11-22,3451
E92000001,England,nation,2022-11-21,3549
E92000001,England,nation,2022-11-20,2613
E92000001,England,nation,2022-11-19,2207
E92000001,England,nation,2022-11-18,2501
E92000001,England,nation,2022-11-17,2703
E92000001,England,nation,2022-11-16,2933
E92000001,England,nation,2022-11-15,3160
E92000001,England,nation,2022-11-14,3494
E92000001,England,nation,2022-11-13,2647
E92000001,England,nation,2022-11-12,2172
E92000001,England,nation,2022-11-11,2562
E92000001,England,nation,2022-11-10,2806
E92000001,England,nation,2022-11-09,3185
E92000001,England,nation,2022-11-08,3380
E92000001,England,nation,2022-11-07,3879
E92000001,England,nation,2022-11-06,2917
E92000001,England,nation,2022-11-05,2374
E92000001,England,nation,2022-11-04,2760
E92000001,England,nation,2022-11-03,3261
E92000001,England,nation,2022-11-02,3599
E92000001,England,nation,2022-11-01,4091
E92000001,England,nation,2022-10-31,4633
E92000001,England,nation,2022-10-30,3827
E92000001,England,nation,2022-10-29,3227
E92000001,England,nation,2022-10-28,3916
E92000001,England,nation,2022-10-27,4372
E92000001,England,nation,2022-10-26,4924
E92000001,England,nation,2022-10-25,5181
E92000001,England,nation,2022-10-24,6147
E92000001,England,nation,2022-10-23,5011
E92000001,England,nation,2022-10-22,4527
E92000001,England,nation,2022-10-21,5759
E92000001,England,nation,2022-10-20,6075
E92000001,England,nation,2022-10-19,7042
E92000001,England,nation,2022-10-18,7667
E92000001,England,nation,2022-10-17,9304
E92000001,England,nation,2022-10-16,7257
E92000001,England,nation,2022-10-15,6005
E92000001,England,nation,2022-10-14,7343
E92000001,England,nation,2022-10-13,7563
E92000001,England,nation,2022-10-12,8124
E92000001,England,nation,2022-10-11,8781
E92000001,England,nation,2022-10-10,9835
E92000001,England,nation,2022-10-09,8014
E92000001,England,nation,2022-10-08,6581
E92000001,England,nation,2022-10-07,8333
E92000001,England,nation,2022-10-06,8819
E92000001,England,nation,2022-10-05,9544
E92000001,England,nation,2022-10-04,10246
E92000001,England,nation,2022-10-03,10881
E92000001,England,nation,2022-10-02,8623
E92000001,England,nation,2022-10-01,6564
E92000001,England,nation,2022-09-30,7099
E92000001,England,nation,2022-09-29,7352
E92000001,England,nation,2022-09-28,7806
E92000001,England,nation,2022-09-27,7648
E92000001,England,nation,2022-09-26,8042
E92000001,England,nation,2022-09-25,6737
E92000001,England,nation,2022-09-24,5309
E92000001,England,nation,2022-09-23,6006
E92000001,England,nation,2022-09-22,6294
E92000001,England,nation,2022-09-21,6940
E92000001,England,nation,2022-09-20,7200
E92000001,England,nation,2022-09-19,5702
E92000001,England,nation,2022-09-18,3943
E92000001,England,nation,2022-09-17,3188
E92000001,England,nation,2022-09-16,3729
E92000001,England,nation,2022-09-15,4200
E92000001,England,nation,2022-09-14,4453
E92000001,England,nation,2022-09-13,4601
E92000001,England,nation,2022-09-12,4758
E92000001,England,nation,2022-09-11,3890
E92000001,England,nation,2022-09-10,2861
E92000001,England,nation,2022-09-09,3103
E92000001,England,nation,2022-09-08,3250
E92000001,England,nation,2022-09-07,3749
E92000001,England,nation,2022-09-06,3940
E92000001,England,nation,2022-09-05,4385
E92000001,England,nation,2022-09-04,3759
E92000001,England,nation,2022-09-03,2971
E92000001,England,nation,2022-09-02,3239
E92000001,England,nation,2022-09-01,3760
E92000001,England,nation,2022-08-31,3975
E92000001,England,nation,2022-08-30,4473
E92000001,England,nation,2022-08-29,3936
E92000001,England,nation,2022-08-28,2882
E92000001,England,nation,2022-08-27,2606
E92000001,England,nation,2022-08-26,2997
