areaCode,areaName,areaType,date,hospitalCases
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-12-08,57
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-12-07,52
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-12-06,60
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-12-05,58
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-12-04,54
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-12-03,40
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-12-02,51
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-12-01,48
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-30,53
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-29,49
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-28,51
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-27,48
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-26,50
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-25,44
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-24,45
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-23,44
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-22,49
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-21,52
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-20,57
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-19,55
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-18,55
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-17,54
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-16,59
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-15,63
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-14,59
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-13,64
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-12,53
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-11,53
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-10,53
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-09,51
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-08,58
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-07,62
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-06,64
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-05,71
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-04,73
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-03,68
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-02,73
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-11-01,69
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-31,65
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-30,65
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-29,68
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-28,71
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-27,73
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-26,71
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-25,72
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-24,75
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-23,67
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-22,64
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-21,67
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-20,64
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-19,68
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-18,76
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-17,84
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-16,93
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-15,47
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-14,97
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-13,104
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-12,107
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-11,113
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-10,124
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-09,125
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-08,113
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-07,108
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-06,103
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-05,98
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-04,93
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-03,87
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-02,72
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-10-01,70
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-30,71
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-29,70
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-28,62
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-27,67
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-26,68
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-25,71
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-24,72
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-23,69
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-22,60
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-21,70
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-20,70
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-19,73
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-18,67
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-17,66
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-16,67
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-15,69
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-14,66
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-13,70
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-12,67
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-11,72
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-10,62
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-09,35
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-08,62
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-07,55
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-06,58
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-05,61
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-04,65
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-03,69
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-02,33
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-09-01,61
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-31,65
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-30,64
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-29,57
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-28,55
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-27,52
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-26,50
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-25,50
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-24,45
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-23,40
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-22,42
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-21,33
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-20,32
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-19,33
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-18,32
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-17,32
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-16,38
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-15,36
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-14,39
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-13,38
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-12,42
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-11,46
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-10,43
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-09,41
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-08,45
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-07,47
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-06,44
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-05,39
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-04,34
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-03,38
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-02,34
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-08-01,37
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-31,35
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-30,30
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-29,30
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-28,26
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-27,28
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-26,28
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-25,27
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-24,26
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-23,25
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-22,26
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-21,20
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-20,20
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-19,19
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-18,18
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-17,12
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-16,7
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-15,12
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-14,12
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-13,16
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-12,22
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-11,24
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-10,25
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-09,29
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-08,26
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-07,26
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-06,25
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-05,26
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-04,29
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-03,26
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-02,25
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-07-01,24
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-30,22
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-29,20
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-28,21
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-27,22
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-26,27
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-25,27
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-24,29
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-23,31
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-22,41
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-21,42
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-20,44
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-19,47
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-18,49
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-17,51
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-16,52
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-15,58
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-14,63
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-13,67
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-12,73
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-11,75
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-10,69
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-09,71
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-08,71
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-07,68
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-06,61
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-05,62
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-04,58
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-03,48
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-02,48
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-06-01,48
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-31,50
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-30,53
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-29,51
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-28,51
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-27,50
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-26,51
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-25,47
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-24,49
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-23,48
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-22,49
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-21,47
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-20,46
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-19,42
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-18,51
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-17,51
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-16,50
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-15,50
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-14,51
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-13,45
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-12,42
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-11,40
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-10,42
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-09,45
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-08,44
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-07,40
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-06,41
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-05,40
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-04,40
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-03,42
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-02,51
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-05-01,50
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-30,52
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-29,51
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-28,55
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-27,52
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-26,53
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-25,63
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-24,64
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-23,70
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-22,68
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-21,68
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-20,64
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-19,73
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-18,76
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-17,71
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-16,76
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-15,74
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-14,76
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-13,78
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-12,82
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-11,96
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-10,95
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-09,96
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-08,95
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-07,94
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-06,95
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-05,87
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-04,96
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-03,97
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-02,103
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-04-01,97
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-31,98
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-30,91
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-29,93
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-28,93
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-27,102
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-26,100
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-25,96
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-24,96
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-23,104
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-22,107
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-21,110
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-20,110
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-19,104
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-18,107
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-17,112
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-16,117
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-15,117
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-14,121
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-13,114
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-12,108
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-11,109
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-10,108
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-09,92
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-08,98
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-07,101
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-06,96
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-05,95
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-04,101
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-03,104
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-02,111
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-03-01,111
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-28,113
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-27,116
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-26,117
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-25,117
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-24,113
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-23,508
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-22,423
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-21,417
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-20,423
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-19,410
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-18,405
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-17,404
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-16,405
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-15,400
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-14,413
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-13,408
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-12,408
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-11,400
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-10,400
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-09,397
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-08,394
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-07,395
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-06,391
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-05,386
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-04,380
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-03,392
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-02,392
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-02-01,390
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-31,391
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-30,391
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-29,381
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-28,382
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-27,388
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-26,390
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-25,387
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-24,392
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-23,401
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-22,398
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-21,394
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-20,396
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-19,407
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-18,416
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-17,430
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-16,427
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-15,429
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-14,427
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-13,424
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-12,427
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-11,432
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-10,435
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-09,434
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-08,427
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-07,425
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-06,421
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-05,422
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-04,418
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-03,412
R0A,Manchester University NHS Foundation Trust,nhsTrust,2023-01-02,409
